variant,class_name,count,mean_confidence,max_confidence
HR,remote,1,0.8916144967079163,0.8916144967079163
HR,tennis racket,1,0.861285924911499,0.861285924911499
HR,truck,1,0.9525063037872314,0.9525063037872314
SRCNN_x4_Adaptive,person,16,0.6767024006694555,0.934436559677124
SRCNN_x4_Adaptive,bird,6,0.561575581630071,0.9134172797203064
SRCNN_x4_Adaptive,tie,4,0.5748357400298119,0.875801682472229
SRCNN_x4_Adaptive,wine glass,4,0.6424997076392174,0.8516806364059448
SRCNN_x4_Adaptive,cow,3,0.8493623932202657,0.8894193768501282
SRCNN_x4_Adaptive,dining table,3,0.44164450963338214,0.689511775970459
SRCNN_x4_Adaptive,sports ball,3,0.6398380696773529,0.8060293197631836
SRCNN_x4_Adaptive,baseball bat,2,0.5074270367622375,0.7297067046165466
SRCNN_x4_Adaptive,broccoli,2,0.5611169189214706,0.7610055804252625
SRCNN_x4_Adaptive,dog,2,0.7908301055431366,0.8900429606437683
SRCNN_x4_Adaptive,motorcycle,2,0.7132231891155243,0.8055943250656128
SRCNN_x4_Adaptive,train,2,0.7696489989757538,0.9154486060142517
SRCNN_x4_Adaptive,airplane,1,0.8790731430053711,0.8790731430053711
SRCNN_x4_Adaptive,bear,1,0.3830246031284332,0.3830246031284332
SRCNN_x4_Adaptive,bottle,1,0.9273142218589783,0.9273142218589783
SRCNN_x4_Adaptive,car,1,0.43874886631965637,0.43874886631965637
SRCNN_x4_Adaptive,chair,1,0.5082045197486877,0.5082045197486877
SRCNN_x4_Adaptive,elephant,1,0.6465181112289429,0.6465181112289429
SRCNN_x4_Adaptive,frisbee,1,0.44625577330589294,0.44625577330589294
SRCNN_x4_Adaptive,keyboard,1,0.6884376406669617,0.6884376406669617
SRCNN_x4_Adaptive,parking meter,1,0.7334387302398682,0.7334387302398682
SRCNN_x4_Adaptive,pizza,1,0.775493323802948,0.775493323802948
SRCNN_x4_Adaptive,remote,1,0.9278427958488464,0.9278427958488464
SRCNN_x4_Adaptive,surfboard,1,0.590058445930481,0.590058445930481
SRCNN_x4_Adaptive,teddy bear,1,0.9094865918159485,0.9094865918159485
SRCNN_x4_Adaptive,tennis racket,1,0.8701909780502319,0.8701909780502319
SRCNN_x4_Adaptive,truck,1,0.8609524965286255,0.8609524965286255
SRCNN_x4_V4,person,16,0.6765347719192505,0.9346409440040588
SRCNN_x4_V4,bird,7,0.5241494391645704,0.9185482859611511
SRCNN_x4_V4,wine glass,5,0.5787997126579285,0.8585931658744812
SRCNN_x4_V4,tie,4,0.5686107352375984,0.8718322515487671
SRCNN_x4_V4,cow,3,0.8478386600812277,0.8962326645851135
SRCNN_x4_V4,dining table,3,0.4639253417650859,0.7483195662498474
SRCNN_x4_V4,sports ball,3,0.6350032488505045,0.8038772940635681
SRCNN_x4_V4,baseball bat,2,0.5141574442386627,0.7405285239219666
SRCNN_x4_V4,broccoli,2,0.5508511662483215,0.764631450176239
SRCNN_x4_V4,dog,2,0.772795557975769,0.8888806700706482
SRCNN_x4_V4,motorcycle,2,0.7015168368816376,0.8044610619544983
SRCNN_x4_V4,parking meter,2,0.49527546763420105,0.7321421504020691
SRCNN_x4_V4,train,2,0.7266704738140106,0.9145334959030151
SRCNN_x4_V4,airplane,1,0.88304203748703,0.88304203748703
SRCNN_x4_V4,bear,1,0.3399142622947693,0.3399142622947693
SRCNN_x4_V4,bottle,1,0.9266303777694702,0.9266303777694702
SRCNN_x4_V4,car,1,0.4628358483314514,0.4628358483314514
SRCNN_x4_V4,chair,1,0.4763469099998474,0.4763469099998474
SRCNN_x4_V4,elephant,1,0.6278588771820068,0.6278588771820068
SRCNN_x4_V4,frisbee,1,0.4928533136844635,0.4928533136844635
SRCNN_x4_V4,keyboard,1,0.664338231086731,0.664338231086731
SRCNN_x4_V4,pizza,1,0.7964123487472534,0.7964123487472534
SRCNN_x4_V4,remote,1,0.9261224865913391,0.9261224865913391
SRCNN_x4_V4,sheep,1,0.268028199672699,0.268028199672699
SRCNN_x4_V4,surfboard,1,0.5545175671577454,0.5545175671577454
SRCNN_x4_V4,teddy bear,1,0.9072057604789734,0.9072057604789734
SRCNN_x4_V4,tennis racket,1,0.8664844036102295,0.8664844036102295
SRCNN_x4_V4,truck,1,0.8601314425468445,0.8601314425468445
