variant,category_id,class_name,num_gt,num_predictions,AP50,precision,recall
SRCNN_x4_V4,53,apple,2,5,0.1666666716337204,0.20000000298023224,0.5
SRCNN_x4_V4,54,sandwich,1,0,0.0,0.0,0.0
SRCNN_x4_V4,55,orange,1,1,0.0,0.0,0.0
SRCNN_x4_V4,56,broccoli,15,5,0.17333333949247987,0.6000000238418579,0.20000000298023224
SRCNN_x4_V4,57,carrot,6,0,0.0,0.0,0.0
SRCNN_x4_V4,59,pizza,6,6,1.0,1.0,1.0
SRCNN_x4_V4,60,donut,1,1,0.0,0.0,0.0
SRCNN_x4_V4,61,cake,1,1,0.0,0.0,0.0
SRCNN_x4_V4,62,chair,17,8,0.28431373469385424,0.625,0.29411765933036804
SRCNN_x4_V4,63,couch,2,1,0.5,1.0,0.5
SRCNN_x4_V4,64,potted plant,3,3,0.6666666865348816,0.6666666865348816,0.6666666865348816
SRCNN_x4_V4,65,bed,5,3,0.6000000238418579,1.0,0.6000000238418579
SRCNN_x4_V4,67,dining table,12,10,0.3333333432674408,0.4000000059604645,0.3333333432674408
SRCNN_x4_V4,70,toilet,3,4,1.0,0.75,1.0
SRCNN_x4_V4,72,tv,10,6,0.6000000238418579,1.0,0.6000000238418579
SRCNN_x4_V4,73,laptop,7,10,0.3849206480478484,0.4000000059604645,0.5714285969734192
SRCNN_x4_V4,74,mouse,4,1,0.25,1.0,0.25
SRCNN_x4_V4,75,remote,3,0,0.0,0.0,0.0
SRCNN_x4_V4,76,keyboard,9,2,0.2222222238779068,1.0,0.2222222238779068
SRCNN_x4_V4,77,cell phone,5,2,0.20000000298023224,0.5,0.20000000298023224
SRCNN_x4_V4,78,microwave,2,1,0.0,0.0,0.0
SRCNN_x4_V4,79,oven,2,1,0.5,1.0,0.5
SRCNN_x4_V4,81,sink,6,2,0.3333333432674408,1.0,0.3333333432674408
SRCNN_x4_V4,82,refrigerator,3,2,0.6666666865348816,1.0,0.6666666865348816
SRCNN_x4_V4,84,book,15,1,0.0,0.0,0.0
SRCNN_x4_V4,85,clock,6,0,0.0,0.0,0.0
SRCNN_x4_V4,86,vase,7,0,0.0,0.0,0.0
SRCNN_x4_V4,87,scissors,2,1,0.0,0.0,0.0
SRCNN_x4_V4,88,teddy bear,3,3,0.5555555787351398,0.6666666865348816,0.6666666865348816
SRCNN_x4_Adaptive,1,person,283,198,0.5314486833210168,0.8030303120613098,0.5618374347686768
SRCNN_x4_Adaptive,2,bicycle,5,0,0.0,0.0,0.0
SRCNN_x4_Adaptive,3,car,21,12,0.2088744699132521,0.5,0.2857142984867096
SRCNN_x4_Adaptive,4,motorcycle,3,2,0.3333333432674408,0.5,0.3333333432674408
SRCNN_x4_Adaptive,5,airplane,4,3,0.75,1.0,0.75
SRCNN_x4_Adaptive,6,bus,6,5,0.8333333134651184,1.0,0.8333333134651184
SRCNN_x4_Adaptive,7,train,2,1,0.5,1.0,0.5
SRCNN_x4_Adaptive,8,truck,8,3,0.125,0.3333333432674408,0.125
SRCNN_x4_Adaptive,9,boat,7,0,0.0,0.0,0.0
SRCNN_x4_Adaptive,10,traffic light,7,8,0.48809526151134897,0.5,0.5714285969734192
SRCNN_x4_Adaptive,11,fire hydrant,2,1,0.5,1.0,0.5
SRCNN_x4_Adaptive,13,stop sign,2,1,0.5,1.0,0.5
SRCNN_x4_Adaptive,15,bench,2,1,0.0,0.0,0.0
SRCNN_x4_Adaptive,16,bird,4,4,0.5,0.5,0.5
SRCNN_x4_Adaptive,17,cat,2,2,1.0,1.0,1.0
SRCNN_x4_Adaptive,18,dog,1,2,0.0,0.0,0.0
SRCNN_x4_Adaptive,19,horse,2,2,1.0,1.0,1.0
SRCNN_x4_Adaptive,20,sheep,6,8,0.8055555389987106,0.625,0.8333333134651184
SRCNN_x4_Adaptive,22,elephant,6,5,0.5333333571751915,0.800000011920929,0.6666666865348816
SRCNN_x4_Adaptive,23,bear,1,1,1.0,1.0,1.0
SRCNN_x4_Adaptive,24,zebra,2,2,1.0,1.0,1.0
SRCNN_x4_Adaptive,27,backpack,9,2,0.0,0.0,0.0
SRCNN_x4_Adaptive,28,umbrella,2,3,1.0,0.6666666865348816,1.0
SRCNN_x4_Adaptive,31,handbag,5,3,0.20000000298023224,0.3333333432674408,0.20000000298023224
SRCNN_x4_Adaptive,32,tie,19,6,0.2543859719707253,0.8333333134651184,0.2631579041481018
SRCNN_x4_Adaptive,33,suitcase,2,2,0.0,0.0,0.0
SRCNN_x4_Adaptive,34,frisbee,3,3,1.0,1.0,1.0
SRCNN_x4_Adaptive,35,skis,5,3,0.20000000298023224,0.3333333432674408,0.20000000298023224
SRCNN_x4_Adaptive,37,sports ball,1,2,0.0,0.0,0.0
SRCNN_x4_Adaptive,38,kite,3,2,0.6666666865348816,1.0,0.6666666865348816
SRCNN_x4_Adaptive,39,baseball bat,2,5,0.45000000298023224,0.4000000059604645,1.0
SRCNN_x4_Adaptive,40,baseball glove,2,2,0.5,0.5,0.5
SRCNN_x4_Adaptive,41,skateboard,2,2,0.5,0.5,0.5
SRCNN_x4_Adaptive,42,surfboard,7,1,0.1428571492433548,1.0,0.1428571492433548
SRCNN_x4_Adaptive,43,tennis racket,3,1,0.3333333432674408,1.0,0.3333333432674408
SRCNN_x4_Adaptive,44,bottle,17,7,0.16176470927894115,0.4285714328289032,0.1764705926179886
SRCNN_x4_Adaptive,46,wine glass,24,3,0.125,1.0,0.125
SRCNN_x4_Adaptive,47,cup,24,12,0.19791666977107525,0.5,0.25
SRCNN_x4_Adaptive,48,fork,4,1,0.0,0.0,0.0
SRCNN_x4_Adaptive,49,knife,10,1,0.10000000149011612,1.0,0.10000000149011612
SRCNN_x4_Adaptive,50,spoon,7,1,0.1428571492433548,1.0,0.1428571492433548
SRCNN_x4_Adaptive,51,bowl,15,8,0.23809525086766214,0.625,0.3333333432674408
SRCNN_x4_Adaptive,52,banana,8,9,0.5281250029802322,0.5555555820465088,0.625
SRCNN_x4_Adaptive,53,apple,2,5,0.1666666716337204,0.20000000298023224,0.5
SRCNN_x4_Adaptive,54,sandwich,1,0,0.0,0.0,0.0
SRCNN_x4_Adaptive,55,orange,1,1,0.0,0.0,0.0
SRCNN_x4_Adaptive,56,broccoli,15,5,0.18333333730697632,0.6000000238418579,0.20000000298023224
SRCNN_x4_Adaptive,57,carrot,6,0,0.0,0.0,0.0
SRCNN_x4_Adaptive,59,pizza,6,7,0.9761904747713182,0.8571428656578064,1.0
SRCNN_x4_Adaptive,60,donut,1,1,0.0,0.0,0.0
SRCNN_x4_Adaptive,61,cake,1,0,0.0,0.0,0.0
SRCNN_x4_Adaptive,62,chair,17,8,0.23529411852359772,0.5,0.23529411852359772
SRCNN_x4_Adaptive,63,couch,2,1,0.5,1.0,0.5
SRCNN_x4_Adaptive,64,potted plant,3,3,0.6666666865348816,0.6666666865348816,0.6666666865348816
SRCNN_x4_Adaptive,65,bed,5,3,0.6000000238418579,1.0,0.6000000238418579
SRCNN_x4_Adaptive,67,dining table,12,10,0.3333333432674408,0.4000000059604645,0.3333333432674408
SRCNN_x4_Adaptive,70,toilet,3,4,1.0,0.75,1.0
SRCNN_x4_Adaptive,72,tv,10,6,0.6000000238418579,1.0,0.6000000238418579
SRCNN_x4_Adaptive,73,laptop,7,9,0.3214285746216774,0.3333333432674408,0.4285714328289032
SRCNN_x4_Adaptive,74,mouse,4,1,0.25,1.0,0.25
SRCNN_x4_Adaptive,75,remote,3,0,0.0,0.0,0.0
SRCNN_x4_Adaptive,76,keyboard,9,2,0.2222222238779068,1.0,0.2222222238779068
SRCNN_x4_Adaptive,77,cell phone,5,2,0.20000000298023224,0.5,0.20000000298023224
SRCNN_x4_Adaptive,78,microwave,2,1,0.0,0.0,0.0
SRCNN_x4_Adaptive,79,oven,2,1,0.5,1.0,0.5
