image,variant_bicubic,gt_bicubic,tp_bicubic,fp_bicubic,fn_bicubic,precision_bicubic,recall_bicubic,f1_bicubic,variant_detectionaware,gt_detectionaware,tp_detectionaware,fp_detectionaware,fn_detectionaware,precision_detectionaware,recall_detectionaware,f1_detectionaware,f1_gain,tp_gain,fp_reduction
000000173057.jpg,Bicubic,17,9,2,8,0.8181818181818182,0.5294117647058824,0.6428571428571428,DetectionAware_Thr1035_Beta15,17,9,3,8,0.75,0.5294117647058824,0.6206896551724139,-0.02216748768472887,0,-1
000000147740.jpg,Bicubic,13,8,5,5,0.6153846153846154,0.6153846153846154,0.6153846153846154,DetectionAware_Thr1035_Beta15,13,8,6,5,0.5714285714285714,0.6153846153846154,0.5925925925925927,-0.022792022792022748,0,-1
000000007816.jpg,Bicubic,11,9,6,2,0.6,0.8181818181818182,0.6923076923076923,DetectionAware_Thr1035_Beta15,11,9,7,2,0.5625,0.8181818181818182,0.6666666666666666,-0.02564102564102566,0,-1
000000001268.jpg,Bicubic,11,6,3,5,0.6666666666666666,0.5454545454545454,0.6,DetectionAware_Thr1035_Beta15,11,6,4,5,0.6,0.5454545454545454,0.5714285714285713,-0.028571428571428692,0,-1
000000014439.jpg,Bicubic,20,13,8,7,0.6190476190476191,0.65,0.6341463414634146,DetectionAware_Thr1035_Beta15,20,13,10,7,0.5652173913043478,0.65,0.6046511627906976,-0.029495178672717004,0,-2
000000058539.jpg,Bicubic,11,7,11,4,0.3888888888888889,0.6363636363636364,0.4827586206896552,DetectionAware_Thr1035_Beta15,11,7,13,4,0.35,0.6363636363636364,0.45161290322580644,-0.031145717463848754,0,-2
000000107226.jpg,Bicubic,18,10,14,8,0.4166666666666667,0.5555555555555556,0.4761904761904762,DetectionAware_Thr1035_Beta15,18,10,17,8,0.37037037037037035,0.5555555555555556,0.4444444444444445,-0.031746031746031744,0,-3
000000143961.jpg,Bicubic,20,13,15,7,0.4642857142857143,0.65,0.5416666666666667,DetectionAware_Thr1035_Beta15,20,13,18,7,0.41935483870967744,0.65,0.5098039215686274,-0.031862745098039325,0,-3
000000033109.jpg,Bicubic,9,5,3,4,0.625,0.5555555555555556,0.5882352941176471,DetectionAware_Thr1035_Beta15,9,5,4,4,0.5555555555555556,0.5555555555555556,0.5555555555555556,-0.0326797385620915,0,-1
000000061418.jpg,Bicubic,15,10,9,5,0.5263157894736842,0.6666666666666666,0.5882352941176471,DetectionAware_Thr1035_Beta15,15,10,11,5,0.47619047619047616,0.6666666666666666,0.5555555555555556,-0.0326797385620915,0,-2
000000084031.jpg,Bicubic,16,8,6,8,0.5714285714285714,0.5,0.5333333333333333,DetectionAware_Thr1035_Beta15,16,8,8,8,0.5,0.5,0.5,-0.033333333333333326,0,-2
000000098392.jpg,Bicubic,11,7,2,4,0.7777777777777778,0.6363636363636364,0.7000000000000001,DetectionAware_Thr1035_Beta15,11,7,3,4,0.7,0.6363636363636364,0.6666666666666666,-0.03333333333333344,0,-1
000000072795.jpg,Bicubic,14,11,6,3,0.6470588235294118,0.7857142857142857,0.7096774193548386,DetectionAware_Thr1035_Beta15,14,11,8,3,0.5789473684210527,0.7857142857142857,0.6666666666666667,-0.043010752688171894,0,-2
000000120420.jpg,Bicubic,26,7,4,19,0.6363636363636364,0.2692307692307692,0.37837837837837834,DetectionAware_Thr1035_Beta15,26,6,4,20,0.6,0.23076923076923078,0.33333333333333337,-0.045045045045044974,-1,0
000000129416.jpg,Bicubic,9,7,1,2,0.875,0.7777777777777778,0.823529411764706,DetectionAware_Thr1035_Beta15,9,7,2,2,0.7777777777777778,0.7777777777777778,0.7777777777777778,-0.045751633986928164,0,-1
000000079969.jpg,Bicubic,18,5,8,13,0.38461538461538464,0.2777777777777778,0.3225806451612903,DetectionAware_Thr1035_Beta15,18,4,7,14,0.36363636363636365,0.2222222222222222,0.27586206896551724,-0.046718576195773076,-1,1
000000078915.jpg,Bicubic,12,12,12,0,0.5,1.0,0.6666666666666666,DetectionAware_Thr1035_Beta15,12,12,15,0,0.4444444444444444,1.0,0.6153846153846153,-0.05128205128205132,0,-3
000000179642.jpg,Bicubic,21,11,7,10,0.6111111111111112,0.5238095238095238,0.5641025641025642,DetectionAware_Thr1035_Beta15,21,10,8,11,0.5555555555555556,0.47619047619047616,0.5128205128205129,-0.05128205128205132,-1,-1
000000005037.jpg,Bicubic,10,4,1,6,0.8,0.4,0.5333333333333333,DetectionAware_Thr1035_Beta15,10,4,3,6,0.5714285714285714,0.4,0.47058823529411764,-0.06274509803921569,0,-2
000000038829.jpg,Bicubic,12,7,4,5,0.6363636363636364,0.5833333333333334,0.6086956521739131,DetectionAware_Thr1035_Beta15,12,6,4,6,0.6,0.5,0.5454545454545454,-0.06324110671936767,-1,0
000000161128.jpg,Bicubic,14,3,9,11,0.25,0.21428571428571427,0.23076923076923075,DetectionAware_Thr1035_Beta15,14,2,8,12,0.2,0.14285714285714285,0.16666666666666666,-0.0641025641025641,-1,1
000000179174.jpg,Bicubic,22,10,5,12,0.6666666666666666,0.45454545454545453,0.5405405405405405,DetectionAware_Thr1035_Beta15,22,9,7,13,0.5625,0.4090909090909091,0.47368421052631576,-0.0668563300142247,-1,-2
000000163746.jpg,Bicubic,13,8,7,5,0.5333333333333333,0.6153846153846154,0.5714285714285715,DetectionAware_Thr1035_Beta15,13,8,11,5,0.42105263157894735,0.6153846153846154,0.5,-0.07142857142857151,0,-4
000000071711.jpg,Bicubic,15,9,8,6,0.5294117647058824,0.6,0.5625,DetectionAware_Thr1035_Beta15,15,8,10,7,0.4444444444444444,0.5333333333333333,0.4848484848484848,-0.0776515151515152,-1,-2
