image,model,psnr,ssim,edge_mae,lpips,checkpoint
lenna,3Region_Thr1035,29.19517076371731,0.98338782787323,0.05706091967474087,0.3105791509151459,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr1035.pth
lenna,3Region_Thr2055_Edge12,29.03041827200375,0.9828024506568909,0.05717869260612202,0.31517574191093445,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr2055_edge12.pth
man,Bicubic,24.37060513121029,0.96314537525177,0.10890013974540277,0.5065933465957642,none
man,SRCNN_x4_V4,24.8417211552781,0.967656135559082,0.1006891766562913,0.3941943049430847,./srcnn_v4/srcnn_x4.pth
man,Weighted_Loss,24.872733551714298,0.9679084420204163,0.09993281719260264,0.3921404480934143,./srcnn_adaptive/srcnn_x4_adaptive.pth
man,3Region_Thr,24.82934356789224,0.9677865505218506,0.09758489282642291,0.40809452533721924,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region.pth
man,3Region_Edge12,24.815021802216826,0.9677532911300659,0.0975745091142796,0.41095879673957825,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_ponderi.pth
man,3Region_Thr1035,24.875435656796615,0.9680975675582886,0.09760823244996987,0.4034072160720825,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr1035.pth
man,3Region_Thr2055_Edge12,24.80443144138839,0.9677257537841797,0.09783503208586035,0.414016991853714,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr2055_edge12.pth
monarch,Bicubic,26.134412970917943,0.951282799243927,0.1174459290283828,0.29338470101356506,none
monarch,SRCNN_x4_V4,27.090085396202618,0.962664008140564,0.10324170585222239,0.19314919412136078,./srcnn_v4/srcnn_x4.pth
monarch,Weighted_Loss,27.134068163269568,0.9631699323654175,0.10236703685288073,0.19090819358825684,./srcnn_adaptive/srcnn_x4_adaptive.pth
monarch,3Region_Thr,27.010309806129946,0.9634047746658325,0.09786040352470037,0.2125067114830017,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region.pth
monarch,3Region_Edge12,26.972426028471858,0.9631668925285339,0.09780412115527785,0.2148732841014862,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_ponderi.pth
monarch,3Region_Thr1035,27.13492386563044,0.9642170071601868,0.09798287641206438,0.20809531211853027,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr1035.pth
monarch,3Region_Thr2055_Edge12,26.862102259965116,0.9623644948005676,0.09828028309929673,0.216196671128273,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr2055_edge12.pth
pepper,Bicubic,29.267123356084426,0.9864859580993652,0.07650821766954788,0.3278525471687317,none
pepper,SRCNN_x4_V4,29.970029209573635,0.9886890053749084,0.0701453444572143,0.2599026560783386,./srcnn_v4/srcnn_x4.pth
pepper,Weighted_Loss,30.0193694275608,0.9888135194778442,0.06861148262098617,0.25952059030532837,./srcnn_adaptive/srcnn_x4_adaptive.pth
pepper,3Region_Thr,29.87507379023191,0.9885320663452148,0.06484759088876493,0.27786552906036377,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region.pth
pepper,3Region_Edge12,29.829500338584566,0.9884530901908875,0.0647488519240104,0.28127986192703247,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_ponderi.pth
pepper,3Region_Thr1035,29.953235570675872,0.9887285828590393,0.06508773606527787,0.2763417363166809,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr1035.pth
pepper,3Region_Thr2055_Edge12,29.771304201452956,0.9883145093917847,0.06494695924620236,0.2829698324203491,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr2055_edge12.pth
ppt3,Bicubic,20.59512492347722,0.9517561197280884,0.18321043602543824,0.32969599962234497,none
ppt3,SRCNN_x4_V4,21.499914575046212,0.9619182348251343,0.16730947055819165,0.24245509505271912,./srcnn_v4/srcnn_x4.pth
ppt3,Weighted_Loss,21.55570063956903,0.962364912033081,0.16639375818628904,0.24188274145126343,./srcnn_adaptive/srcnn_x4_adaptive.pth
ppt3,3Region_Thr,21.59104094580727,0.9624003171920776,0.16079654394441148,0.2522106170654297,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region.pth
ppt3,3Region_Edge12,21.566213600546718,0.9621858596801758,0.16075640088000032,0.25324547290802,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_ponderi.pth
ppt3,3Region_Thr1035,21.654885910778372,0.9630343914031982,0.1612379889376977,0.24776677787303925,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr1035.pth
ppt3,3Region_Thr2055_Edge12,21.569019018871032,0.9622724652290344,0.16140826310630024,0.25429362058639526,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr2055_edge12.pth
zebra,Bicubic,22.737368433865353,0.9434157609939575,0.10999758130148818,0.41794952750205994,none
zebra,SRCNN_x4_V4,23.80257670677485,0.9583057165145874,0.09490835416389848,0.3023824691772461,./srcnn_v4/srcnn_x4.pth
zebra,Weighted_Loss,23.86342284310725,0.9589353203773499,0.09336077855448335,0.30422094464302063,./srcnn_adaptive/srcnn_x4_adaptive.pth
