variant,category_id,class_name,num_gt,num_predictions,AP50,precision,recall
3Region_Thr1035,2,bicycle,31,8,0.1747311763064836,0.75,0.19354838132858276
3Region_Thr1035,3,car,162,80,0.3415154234036277,0.75,0.37037035822868347
3Region_Thr1035,4,motorcycle,46,28,0.28419902099880856,0.5714285969734192,0.3478260934352875
3Region_Thr1035,5,airplane,5,1,0.20000000298023224,1.0,0.20000000298023224
3Region_Thr1035,6,bus,31,14,0.3449937060044608,0.7857142686843872,0.35483869910240173
3Region_Thr1035,7,train,4,2,0.5,1.0,0.5
3Region_Thr1035,8,truck,38,13,0.21032389083703773,0.692307710647583,0.2368421107530594
3Region_Thr1035,9,boat,34,6,0.06372549194915622,0.5,0.0882352963089943
3Region_Thr1035,10,traffic light,50,35,0.3062195678719286,0.5142857432365417,0.36000001430511475
3Region_Thr1035,11,fire hydrant,2,3,0.5,0.3333333432674408,0.5
3Region_Thr1035,13,stop sign,2,0,0.0,0.0,0.0
3Region_Thr1035,14,parking meter,2,2,1.0,1.0,1.0
3Region_Thr1035,15,bench,14,1,0.0,0.0,0.0
3Region_Thr1035,16,bird,55,3,0.05454545468091965,1.0,0.05454545468091965
3Region_Thr1035,18,dog,5,2,0.0,0.0,0.0
3Region_Thr1035,19,horse,4,1,0.0,0.0,0.0
3Region_Thr1035,20,sheep,32,8,0.0703125,0.375,0.09375
3Region_Thr1035,21,cow,33,23,0.23499028497995678,0.43478259444236755,0.3030303120613098
3Region_Thr1035,22,elephant,4,0,0.0,0.0,0.0
3Region_Thr1035,24,zebra,4,0,0.0,0.0,0.0
3Region_Thr1035,25,giraffe,2,1,0.5,1.0,0.5
3Region_Thr1035,27,backpack,28,0,0.0,0.0,0.0
3Region_Thr1035,28,umbrella,25,16,0.30666667240361356,0.625,0.4000000059604645
3Region_Thr1035,31,handbag,19,3,0.05263157933950424,0.3333333432674408,0.05263157933950424
3Region_Thr1035,32,tie,7,3,0.2857142984867096,0.6666666865348816,0.2857142984867096
3Region_Thr1035,33,suitcase,13,9,0.10769231216265607,0.2222222238779068,0.1538461595773697
3Region_Thr1035,35,skis,2,0,0.0,0.0,0.0
3Region_Thr1035,37,sports ball,7,2,0.2857142984867096,1.0,0.2857142984867096
3Region_Thr1035,38,kite,17,6,0.23529411852359772,0.6666666865348816,0.23529411852359772
3Region_Thr1035,39,baseball bat,4,4,0.0,0.0,0.0
3Region_Thr1035,40,baseball glove,8,1,0.125,1.0,0.125
3Region_Thr1035,41,skateboard,13,4,0.3076923191547394,1.0,0.3076923191547394
3Region_Thr1035,42,surfboard,3,2,0.3333333432674408,0.5,0.3333333432674408
3Region_Thr1035,43,tennis racket,14,1,0.0714285746216774,1.0,0.0714285746216774
3Region_Thr1035,44,bottle,11,0,0.0,0.0,0.0
3Region_Thr1035,46,wine glass,13,0,0.0,0.0,0.0
3Region_Thr1035,47,cup,9,2,0.1111111119389534,0.5,0.1111111119389534
3Region_Thr1035,48,fork,1,0,0.0,0.0,0.0
3Region_Thr1035,49,knife,3,0,0.0,0.0,0.0
3Region_Thr1035,50,spoon,1,0,0.0,0.0,0.0
3Region_Thr1035,51,bowl,3,0,0.0,0.0,0.0
3Region_Thr1035,52,banana,2,2,0.25,0.5,0.5
3Region_Thr1035,60,donut,13,4,0.3076923191547394,1.0,0.3076923191547394
3Region_Thr1035,62,chair,49,12,0.09897959336866524,0.5,0.12244898080825806
3Region_Thr1035,64,potted plant,7,2,0.2857142984867096,1.0,0.2857142984867096
3Region_Thr1035,67,dining table,21,2,0.0476190485060215,0.5,0.0476190485060215
3Region_Thr1035,72,tv,2,0,0.0,0.0,0.0
3Region_Thr1035,75,remote,7,0,0.0,0.0,0.0
3Region_Thr1035,77,cell phone,2,1,0.0,0.0,0.0
3Region_Thr1035,78,microwave,1,0,0.0,0.0,0.0
3Region_Thr1035,79,oven,2,1,0.5,1.0,0.5
3Region_Thr1035,82,refrigerator,2,1,0.5,1.0,0.5
3Region_Thr1035,85,clock,6,3,0.5,1.0,0.5
3Region_Thr1035,86,vase,1,0,0.0,0.0,0.0
3Region_Thr1035,88,teddy bear,6,0,0.0,0.0,0.0
DetectionAware_Thr1035_Beta15,1,person,728,376,0.3402614155852027,0.7313829660415649,0.3777472674846649
DetectionAware_Thr1035_Beta15,2,bicycle,31,8,0.15053762864041076,0.625,0.16129031777381897
DetectionAware_Thr1035_Beta15,3,car,162,85,0.3389180291368481,0.7058823704719543,0.37037035822868347
DetectionAware_Thr1035_Beta15,4,motorcycle,46,26,0.301386781724549,0.5769230723381042,0.32608696818351746
